Ticket,Link,Theme,Friction (short),How resolved,Created,Resolved,Resolution reason,Status
GOLD-9424,https://guesty.atlassian.net/browse/GOLD-9424,Duplicate / Multiple Payment Charges,"Merchant Warrior charged guests twice on the same reservation — Guesty sent duplicate API requests to MW (e.g. HA-YjQ543l, $355.25 × 2).",Cancelled ghost-reservation pending payments; interim ad hoc refunds; root-cause fix tracked on GOLD-9426.,27 May 2026,27 May 2026,Bugfix,Closed
GOLD-9426,https://guesty.atlassian.net/browse/GOLD-9426,Duplicate / Multiple Payment Charges,Ongoing duplicate/multiple charges via MW — guests charged up to 10× in some cases; payment automations turned off as workaround.,Still under cross-team root-cause investigation (ghost reservations from failed DB save after FIN money creation). No fix deployed.,27 May 2026,—,—,Open (New)
T3-166405,https://guesty.atlassian.net/browse/T3-166405,Tax-Inclusive Calculation Errors,Negative Accommodation Fare on 17+ BDC reservations on MRP — tax-per-line-item enabled but feature toggle off caused incorrect AF values (32+ res affected).,Javier's team led root-cause fix via feature-toggle enablement; discussed on APAC↔Product call — some reservations require client-side correction.,28 May 2026,28 May 2026,Insufficient Information,Closed (reopened in Slack)
FIN-10790,https://guesty.atlassian.net/browse/FIN-10790,Guest Invoice Discrepancies,"Guest invoice omitted Cleaning Fee line item — total correct but breakdown misleading (AF + GST only, fee not bundled into AF as expected when toggle off).",Code fix deployed to prod (bundled/deducted fee aggregation in shared invoice); reservation invoice corrected.,21 May 2026,2 Jun 2026,Tech Fix,Closed
T3-166658,https://guesty.atlassian.net/browse/T3-166658,Tax-Inclusive Calculation Errors,BDC imported reservation BC-62F3FF509 — taxes reported as removed from guest folio / missing from resort-fee query.,Investigation found taxes present on folio; ticket closed for inadequate description — 0 reservations with missing taxes after fix.,1 Jun 2026,1 Jun 2026,Inadequate Description,Closed
T3-166678,https://guesty.atlassian.net/browse/T3-166678,Tax-Inclusive Calculation Errors,"Bundled/deducted fees not handled correctly — guest folio total A$3,282 vs expected A$2,522 (A$760 discrepancy on MRP direct booking).",Escalated to FIN as FIN-10848; reservation recalculated after inclusive-tax step fix (FIN-10476); folio now correct.,1 Jun 2026,4 Jun 2026,Duplicate (→ FIN-10848),Closed
GOLD-9379,https://guesty.atlassian.net/browse/GOLD-9379,VRBO Auth Holds & Manual Workarounds,Could not create future authorisation holds via API — isAuthorizationHold always returned false despite correct payload.,Payments team confirmed new API fields (releaseCheckInOffset / captureCheckInOffset); ticket closed but Hometime still blocked on bulk implementation.,20 May 2026,31 May 2026,Tech Fix,Closed (follow-up GOLD-9427 open)
T3-167159,https://guesty.atlassian.net/browse/T3-167159,Tax-Inclusive Calculation Errors,Tax-inclusive reservation shows balance due equal to tax value — tax added on top instead of extracted from inclusive fees.,Escalated to FIN-10855; investigated VRBO cleaning fee GST treatment; closed as designed after confirming VRBO imported CF as A$330 inclusive.,4 Jun 2026,10 Jun 2026,As Designed (→ FIN-10855),Closed
T3-167520,https://guesty.atlassian.net/browse/T3-167520,EOM Blockers & Tax Errors (MRP),Incorrect taxes on MRP reservations blocking End-of-Month processing and owner statements.,"Part of broader tax-inclusive remediation; bulk recalculation of ~2,000 MRP reservations with markup-on-fees + tax-inclusive requested.",8 Jun 2026,10 Jun 2026,Bugfix (→ FIN-10873),Closed
FIN-10855,https://guesty.atlassian.net/browse/FIN-10855,EOM Blockers — Payout,VRBO reservation balance due overstated by A$30 — GST added exclusively on channel-origin cleaning fee instead of extracted as inclusive.,"VRBO team confirmed cleaning fee imported as A$330 from channel; closed as designed — payment/folio mismatch from manual adjustments, not FIN bug.",4 Jun 2026,10 Jun 2026,As Designed,Closed
FIN-10873,https://guesty.atlassian.net/browse/FIN-10873,EOM Blockers — Payout,Airbnb reservations with outstanding balance — resort-fee GST not 10%; 51+ reservations flagged in impact spreadsheet.,"Code bugfix for markup-on-fees + inclusive tax extraction; spreadsheet reservations recalculated; bulk recalc of ~2,000 checkout-after-May res suggested.",8 Jun 2026,9 Jun 2026,Bugfix,Closed
PFR-9532,https://guesty.atlassian.net/browse/PFR-9532,VRBO Auth Holds & Manual Workarounds,No automated auth-hold flow for VRBO instant-book — users must create manual holds per reservation.,Feature request raised; no product delivery yet — awaiting prioritisation.,6 Jun 2023,—,—,Open (New)
