Ticket,Link,Title,Problem,Issue Type,Created,Status,Resolution,BIZ Report,Theme
FIN-10629,https://guesty.atlassian.net/browse/FIN-10629,Airbnb reservation unpaid (tax missing on line item),Airbnb reservations showed as overpaid because tax was not extracted on additional-fee line items.,Support Task,May 12,Closed,Tech Fix,No,Tax Inclusive
FIN-10623,https://guesty.atlassian.net/browse/FIN-10623,Booking.com payments do not match extranet,BDC reservations imported with payment totals that did not match the Booking.com extranet.,Support Task,May 12,Closed,Tech Fix,Yes,Channel Sync
FIN-10632,https://guesty.atlassian.net/browse/FIN-10632,Guesty update post manual adjustment,"After manual folio adjustment, Guesty Update triggered unwanted recalculation on the reservation.",Support Ticket,May 13,Closed,As Designed,Yes,Tax Inclusive
GOLD-9339,https://guesty.atlassian.net/browse/GOLD-9339,Payments without Trust Receipt number,ANZ Receipts toggle delayed — guest payments recorded without sequential Trust Receipt numbers for bank reconciliation.,Support Ticket,May 13,Closed,Product Fix,Yes,Accounting & Reconciliation
FIN-10641,https://guesty.atlassian.net/browse/FIN-10641,VRBO reservation needs recovery (incorrect tax),VRBO reservation missing tax on resort fee; needed recovery/recalculation.,Support Ticket,May 14,Closed,Tech Fix,Yes,Tax Inclusive
SK-5466,https://guesty.atlassian.net/browse/SK-5466,Booking.com net payouts not working,"On MRP account, BDC net payouts enabled but payments still required manual confirmation.",Support Ticket,May 14,Closed,Bugfix,No,Channel Sync
AAP-4130,https://guesty.atlassian.net/browse/AAP-4130,Hometime | Reconciliation flow,Pre-reconciliation cash journal total did not match filtered posting journal for entries before May 1.,Support Task,May 14,Closed,As Designed,Yes,Accounting & Reconciliation
SK-5396,https://guesty.atlassian.net/browse/SK-5396,Missing VCCs for B.com,Imported Booking.com reservation had no virtual credit card despite card details in channel XML.,Support Ticket,May 14,Closed,Bugfix,No,Channel Sync
FIN-10665,https://guesty.atlassian.net/browse/FIN-10665,Taxes zero through Guesty update,"During tax-inclusive recalculate, Guesty Update zeroed tax values — reservations looked overpaid.",Support Ticket,May 18,Closed,Bugfix,Yes,Tax Inclusive
GOLD-9416,https://guesty.atlassian.net/browse/GOLD-9416,Hold payments released before 30 days,Payment automation configured to hold until 30 days post-check-in released the hold early.,Support Ticket,May 18,Closed,As Designed,Yes,Payments & Automation
ANB-9194,https://guesty.atlassian.net/browse/ANB-9194,VRBO: reservation did not sync to Guesty,VRBO reservation booked May 19 failed to sync/import into Guesty.,Support Ticket,May 20,Closed,Setup Fix,No,Channel Sync
GOLD-9379,https://guesty.atlassian.net/browse/GOLD-9379,Create future authorisation holds,Could not create future authorisation holds via API for TBC reservations; escalated to R&D.,Support Task,May 20,Closed,Tech Fix,Yes,Payments & Automation
FIN-10790,https://guesty.atlassian.net/browse/FIN-10790,Guest invoice breakdown inaccuracy,Guest invoice line-item breakdown did not display correctly (totals vs line items misaligned).,Support Ticket,May 21,Closed,Tech Fix,No,Tax Inclusive
ACC-5894,https://guesty.atlassian.net/browse/ACC-5894,Cash transactions missing in accounting folio,Cash transactions on reservation missing from accounting folio (unrecognized status).,Support Ticket,May 22,Closed,Tech Fix,No,Accounting & Reconciliation
GOLD-9402,https://guesty.atlassian.net/browse/GOLD-9402,Payment automation was not working,"On confirmation, payment automation charged full amount instead of configured 25% deposit.",Support Ticket,May 22,Closed,Bugfix,Yes,Payments & Automation
COM-11663,https://guesty.atlassian.net/browse/COM-11663,Cancellation policy,Airbnb cancellation policy (Strict variation) not visible in Guesty reservation details after import.,Support Ticket,May 25,Closed,As Designed,No,Channel Sync
GOLD-9424,https://guesty.atlassian.net/browse/GOLD-9424,Duplicate charged from MW,Middleton payment processor charged the guest twice on the same reservation.,Support Ticket,May 27,Closed,Bugfix,Yes,Payments & Automation
FIN-10791,https://guesty.atlassian.net/browse/FIN-10791,Guest invoice breakdown inaccuracy,Duplicate of FIN-10790 — cleaning fee not bundled into accommodation fare on guest invoice.,Support Ticket,May 27,Closed,Duplicate,No,Tax Inclusive
GOLD-9427,https://guesty.atlassian.net/browse/GOLD-9427,Create future authorisation holds,Open follow-up on bulk future authorisation holds via API (same underlying request as GOLD-9379).,Knowledge,May 27,Open,—,No,Payments & Automation
