ID,Language,Type,Page,Issue / Feedback,Current text (EN or as seen),Desired / Correct translation,Source,Reporter,Screenshot file,Slack / Doc link,Has screenshot
FR-001,French,Missing Translation,Onboarding Hub / Welcome (Rocketlane),"Onboarding Hub content is not translated to French; browser cannot auto-translate (front-end). Mixed FR/EN nav (""Maison"", ""Partager"" vs English content).",Welcome to Guesty!; Onboarding Hub & Guesty Onboarding Overview; Project Plan; Educational Resources; etc.,Full French translation of Onboarding Hub content and navigation,FR doc (Remi Cannessant) + Slack thread,Rémi Cannessant,page1_img1.jpg,https://guesty.slack.com/archives/C0BDXUK6V1R/p1782905939091019?thread_ts=1782895353.663379,Yes
FR-002,French,Missing Translation,Mobile App – Language & region settings,"Language set to French, but settings page labels remain in English.",Language & region; Language,Langue et région; Langue,FR doc (Remi Cannessant),Rémi Cannessant,page1_img2.jpg,https://guesty.slack.com/archives/C0BDXUK6V1R/p1782905939091019?thread_ts=1782895353.663379,Yes
FR-003,French,Missing Translation,Mobile App – Home / Daily activity,Mobile app Home dashboard largely in English (Lockey Conciergerie churned partly due to poor FR mobile translation).,Hello; Daily activity; Check-ins; Check-outs; Weekly activity; Home; Calendar; Inbox; Reservations; More,Full French mobile Home translation,FR doc (Remi Cannessant),Rémi Cannessant,page1_img3.jpg,,Yes
FR-004,French,Missing Translation,Message Automations – Best practice templates,"Automation strategy wizard partially FR, but template descriptions remain in English.",For 1 night stays booked on the same day; For 2+ nights stays booked on the same day; For any stays booked more than 1 day in advance; For when a reservation is altered; For when a reservation is canceled,French translations of all best-practice template descriptions,FR doc (Remi Cannessant),Rémi Cannessant,page2_img4.jpg,,Yes
FR-005,French,Missing Translation,Message Automations – Default message content,Default automation message templates are in English while surrounding UI is French.,"Hi {{guest_first}}, Thank you so much for booking with us! ...",French default guest message templates,FR doc (Remi Cannessant),Rémi Cannessant,page2_img5.jpg,,Yes
FR-006,French,Missing Translation,Registration / Onboarding email,Registration email subject (object) remains in English while body is French.,Subject: Let's Get Started with Guesty!,French subject line (e.g. Commençons avec Guesty !),FR doc (Remi Cannessant),Rémi Cannessant,page3_img6.jpg,,Yes
FR-007,French,Missing Translation,Guesty Copilot – first screen,Guesty Copilot intro and suggested prompts are in English.,"Hi Rémi, I'm your Guesty Copilot...; suggested analysis prompts in English",Full French Copilot intro + suggested prompts,FR doc (Remi Cannessant),Rémi Cannessant,page3_img7.jpg,,Yes
FR-008,French,Missing Translation,In-platform Support – Contact support,Support entry screens / first questions are in English.,"Hi Rémi, how can we help?; Contact support; How would you like to contact us?; Open chat (24/7); Submit a support ticket",Full French support contact UI,FR doc (Rémi Cannessant),Rémi Cannessant,page4_img8.jpg,,Yes
FR-009,French,Missing Translation,In-platform Support – Gus AI chat,Support AI chat (Gus) messages displayed in English.,"Hi, I'm Gus. How can I help you today?",French Gus AI greetings and responses,FR doc (Rémi Cannessant),Rémi Cannessant,page4_img9.jpg,,Yes
FR-010,French,Missing Translation,Bookings Dashboard – Upcoming Bookings / AI prompt,"Page title and Gemini/AI prompt field remain in English; status value ""Confirmed"" untranslated in filter.",Upcoming Bookings; Show reservations with pending payments; Status is in Confirmed,Réservations à venir; French AI prompt placeholder; Confirmé,FR doc (Rémi Cannessant),Rémi Cannessant,page4_img10.jpg,,Yes
FR-011,French,Missing Translation,Multi-Calendar – Reservation Details – Additional information,Additional information field labels not translated (values are FR).,License Number; Early Check in; Late Check Out; VIP Guesty; Reason for Stay; Estimated Arrival Time; Special Requests; Number of Pets; Celebration package; Boat Transfer,French labels for all additional information fields,FR doc (Rémi Cannessant),Rémi Cannessant,page5_img11.jpg,,Yes
FR-012,French,Missing Translation,Add a property – Property address,Primary address field/placeholder remain in English while other address fields are French.,Property address*; Enter address,Adresse de la propriété*; Saisir l'adresse,FR doc (Rémi Cannessant),Rémi Cannessant,page6_img12.jpg,,Yes
FR-013,French,Missing Translation,Add a property – Amenities list,Many amenity names remain in English in an otherwise French amenities picker.,Baking sheet; Barbeque utensils; Beach access; Bikes; Blender; Board games; Ceiling fan; Cleaning products; Coffee; Coin Laundry; etc.,French amenity names for all channel amenities,FR doc (Rémi Cannessant),Rémi Cannessant,page6_img13.jpg,,Yes
